Web/Mobile;Przegl鉅arka;Kontynent;Czas (s)
web;Edge;Australia;10,769
web;Edge;Europa;11,17
web;Edge;Z這to;0,604
web;Edge;Afryka;42,836
web;Edge;Ameryka P馧nocna;16,361
web;Edge;Z這to;0,768
web;Firefox;Europa;21,552
web;Firefox;Z這to;0,997
web;Opera;Australia;66,549
web;Opera;Azja;206,139
web;Opera;Europa;41,512
web;Opera;Z這to;0,567
web;Edge;Afryka;50,842
web;Firefox;Z這to;2,334
web;Chrome;Australia;32,39
web;Chrome;Z這to;0,589
web;Opera;Australia;26,383
web;Opera;Z這to;0,635
web;IE;Z這to;1,268
web;Edge;Ameryka Po逝dniowa;23,335
web;Edge;Australia;11,022
web;Edge;Z這to;0,892
web;Edge;Ameryka Po逝dniowa;15,882
web;Edge;Australia;8,964
web;Edge;Z這to;0,561
web;Edge;Ameryka Po逝dniowa;20,722
web;Edge;Australia;11,532
web;Edge;Z這to;0,682
web;Edge;Ameryka P馧nocna;21,525
web;Edge;Z這to;0,891
web;Edge;Ameryka P馧nocna;18,912
web;Edge;Z這to;0,601
web;IE;Z這to;3,272
web;IE;Z這to;1,147
web;Firefox;Uruchomienie;5,491
web;Firefox;Z這to;1,149
web;Chrome;Uruchomienie;2,957
web;Chrome;Z這to;0,636
web;Opera;Uruchomienie;2,791
web;Opera;Z這to;0,564
web;IE;Uruchomienie;1,717
web;IE;Z這to;1
web;Edge;Uruchomienie;1,868
web;Edge;Z這to;0,68
web;Firefox;Uruchomienie;5,915
web;Firefox;Z這to;1,408
web;Edge;Uruchomienie;3,42
web;Edge;Australia;12,077
web;Edge;Uruchomienie;3,091
web;Edge;Z這to;0,921
web;Edge;Uruchomienie;1,801
web;Edge;Australia;10,537
web;Edge;Uruchomienie;2,156
web;Edge;Z這to;0,913
web;Firefox;Uruchomienie;6,172
web;Firefox;Ameryka Po逝dniowa;24,294
web;Firefox;Australia;15,503
web;Firefox;Z這to;0,937
web;Edge;Uruchomienie;1,93
web;Edge;Z這to;0,721
mobile;Chrome;Uruchomienie;30,292
mobile;Chrome;Europa;291,011
mobile;Chrome;Z這to;1,711
web;Edge;Uruchomienie;4,486
web;Edge;Afryka;44,528
web;Edge;Z這to;0,737
mobile;Chrome;Uruchomienie;20,201
mobile;Chrome;Australia;194,736
mobile;Chrome;Z這to;1,66
emulator;Chrome;Uruchomienie;19,699
emulator;Chrome;Z這to;2,354
web;Edge;Uruchomienie;1,872
web;Edge;Europa;13,553
web;Edge;Z這to;0,478
web;Firefox;Uruchomienie;5,382
web;Edge;Uruchomienie;3,112
web;Edge;Europa;14,69
web;Edge;Z這to;0,586
mobile;Chrome;Uruchomienie;23,447
mobile;Chrome;Europa;275,381
mobile;Chrome;Z這to;1,859
web;Edge;Uruchomienie;3,052
web;Edge;Europa;13,855
web;Edge;Z這to;0,666
mobile;Chrome;Uruchomienie;20,197
mobile;Chrome;Europa;278,086
mobile;Chrome;Z這to;1,691
web;Edge;Uruchomienie;2,971
web;Edge;Z這to;0,684
web;Edge;Uruchomienie;3,012
web;Edge;Uruchomienie;3,187
web;Edge;Z這to;0,783
web;Edge;Uruchomienie;3,149
web;Edge;Uruchomienie;3,096
web;Edge;Europa;14,426
web;Edge;Uruchomienie;1,724
web;Edge;Australia;9,725
emulator;Chrome;Uruchomienie;22,417
emulator;Chrome;Europa;312,816
emulator;Chrome;Z這to;1,984
web;Edge;Uruchomienie;2,169
web;Edge;Azja;54,087
